U_OldCode;CardName;CardType;CardFName;Type;Series;GroupCode;CreditLimit;U_locktimeout;FederalTaxID;MailAddress;Outlet;Address;Delivery Route
A102.329;SFA STEAK KARANGANYAR (FoC);cCustomer;SFA STEAK KARANGANYAR (FoC);FC;812;113;0;0;0.0000.00000.00000.;Perumnas, Jalan Cempaka 1 No.9, Perumnas Ngringo, Ngringo, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57772;SELAT PUSPPA;Perumnas, Jalan Cempaka 1 No.9, Perumnas Ngringo, Ngringo, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57772;
A102.335;SOGA (FoC);cCustomer;SOGA (FoC);FC;812;113;50000000;0;0.0000.00000.00000.;"KOMPLEK RUKO PLAZA SOLO BARU BLOK 
 HB-08,SOLO BARU 
 SEBRANG BIMA KARAOKE";SIMHAE;"KOMPLEK RUKO PLAZA SOLO BARU BLOK 
 HB-08,SOLO BARU 
 SEBRANG BIMA KARAOKE";
A102.293;WISMA BOGA REST;cCustomer;WISMA BOGA REST;Hotel;802;100;2000000;0;0.0000.00000.00000.;"Jl. Slamet Riyadi No. 310 
 Solo";310;"Jl. Slamet Riyadi No. 310 
 Solo";
A101.056;HOTEL KOTA (NANDA);cCustomer;HOTEL KOTA (NANDA);Hotel;802;100;1000000;14;24.852.401.9-526.000;JL.DR RAJIMAN 149 RT.002 RW.007 DESA/KEL. JAYENGAN - KEC. SERENGAN SURAKARTA;ANDRIAN GUNAWAN;JL.DR RAJIMAN 149 RT.002 RW.007 DESA/KEL. JAYENGAN - KEC. SERENGAN SURAKARTA;
A101.004;ASTON HOTEL SOLO (PT. DUTA MITRA PROPERTINDO);cCustomer;PT. DUTA MITRA PROPERTINDO;Hotel;802;100;20000000;0;0.0000.00000.00000.;"JL. ANTARIKSA 3 KENTINGAN 
 JEBRES (SEBELAH BARAT TEMBOK RSJ SOLO) 
 SURAKARTA";ARJE'S KITCHEN;"JL. ANTARIKSA 3 KENTINGAN 
 JEBRES (SEBELAH BARAT TEMBOK RSJ SOLO) 
 SURAKARTA";
A102.005;AYOM JAVA VILLAGE;cCustomer;AYOM JAVA VILLAGE;Hotel;802;100;0;0;0.0000.00000.00000.;"Jl. Suryo 2 No. 51 A Jebres, Surakarta 
 Jawa Tengah";AYAM GEPREK ABANG IRENG;"Jl. Suryo 2 No. 51 A Jebres, Surakarta 
 Jawa Tengah";
A101.003;AZIZA HOTEL;cCustomer;AZIZA HOTEL;Hotel;802;100;10000000;14;0.0000.00000.00000.;Gatak,Gajahan,Colomadu,Kabupaten Karanganyar, Jawa Tengah;AYOM JAVA VILLAGE;Gatak,Gajahan,Colomadu,Kabupaten Karanganyar, Jawa Tengah;
A101.014;BARON INDAH HOTEL;cCustomer;BARON INDAH HOTEL;Hotel;802;100;5000000;30;0.0000.00000.00000.;PERUM GRIYA KENCANA I/B4 GUMPANG KARTASURA;BAPAK WIJIYANTO;PERUM GRIYA KENCANA I/B4 GUMPANG KARTASURA;
A101.013;BEST WESTERN SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);cCustomer;PT. DELTA MERLIN DUNIA PROPERTI;Hotel;802;100;50000000;0;0.0000.00000.00000.;JL.SIWALAN NO.45B KERTEN;BERANDA RUMAH;JL.SIWALAN NO.45B KERTEN;
A101.048;SALA VIEW HOTEL (PT. PANCA WIBAWA UTAMA);cCustomer;PT. PANCA WIBAWA UTAMA;Hotel;802;100;5000000;7;0.0000.00000.00000.;JL.KALILARANGAN NO 8 SURAKARTA;BND PIZZA;JL.KALILARANGAN NO 8 SURAKARTA;
A101.012;BROTHERS HOTEL SOLO;cCustomer;BROTHERS HOTEL SOLO;Hotel;802;100;20000000;0;0.0000.00000.00000.;"Jl. Kemuning Blok J No. 7 Perum Puri Gading 
 Grogol Sukoharjo";BOSSGRILL AND BBQ;"Jl. Kemuning Blok J No. 7 Perum Puri Gading 
 Grogol Sukoharjo";
A101.015;BROTHERS INN;cCustomer;BROTHERS INN;Hotel;802;100;3500000;0;0.0000.00000.00000.;Jalan Menteri Supeno No.3A, Manahan, Banjarsari;BROTHERHOOD;Jalan Menteri Supeno No.3A, Manahan, Banjarsari;
A101.019;GRAND ORCHID HOTEL;cCustomer;GRAND ORCHID HOTEL;Hotel;802;100;300000;30;85.519.963.4-528.000;Jl. Adi Sucipto No. 43, Puspan, Blulukan, Karangayar;CV. JATI MAKMUR;Jl. Adi Sucipto No. 43, Puspan, Blulukan, Karangayar;
A101.075;FAVE HOTEL SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);cCustomer;PT. DELTA MERLIN DUNIA PROPERTI;Hotel;802;100;5000000;0;0.0000.00000.00000.;"HARTONO TRADE CENTER LANTAI PI/LT.3 
 Jl. Ir. Soekarno No.10F, Dusun I, Madegondo, Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552";EXECUTIVE KARAOKE;"HARTONO TRADE CENTER LANTAI PI/LT.3 
 Jl. Ir. Soekarno No.10F, Dusun I, Madegondo, Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552";
A101.016;FAVE HOTEL ADISUTJIPTO (PT. DELTA MERLIN DUNIA PROPERTI);cCustomer;PT. DELTA MERLIN DUNIA PROPERTI;Hotel;802;100;50000000;14;0.0000.00000.00000.;THE PARK SOLO GROUND FLOUR;EXSELSO SOLO;THE PARK SOLO GROUND FLOUR;
A101.017;FRONT ONE HOTEL (PT. ADI SUMARMO ADI GUNA);cCustomer;PT. ADI SUMARMO ADI GUNA;Hotel;802;100;3000000;7;0.0000.00000.00000.;Jl. Adi Sucipto No.1 Paulan Wetan, Malangjiwan, Colomadu, Karanganyar;FOTO KOPI;Jl. Adi Sucipto No.1 Paulan Wetan, Malangjiwan, Colomadu, Karanganyar;
A101.018;FRONT ONE HOTEL SRAGEN (PT. WAW ANGKASA WIJAYA);cCustomer;PT. WAW ANGKASA WIJAYA;Hotel;802;100;1000000;7;0.0000.00000.00000.;JL PEMUDA UTARA 106KLATEN;FRAPIO KLATEN;JL PEMUDA UTARA 106KLATEN;
A101.021;GRAND LAGUNA;cCustomer;GRAND LAGUNA;Hotel;802;100;5000000;0;0.0000.00000.00000.;Jl. Yosodipuro no. 122, Mangkubumen Solo;GEROBAK PASTA;Jl. Yosodipuro no. 122, Mangkubumen Solo;
A101.071;GRAND MERCURE SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);cCustomer;PT. DELTA MERLIN DUNIA PROPERTI;Hotel;802;100;100000000;30;0.0000.00000.00000.;JL. DR.RAJIMAN NO 263,JAYEGAN TIMUR PEREMPATAN PASAR KEMBANG KE KIRI;GRAINS & DOUGHT;JL. DR.RAJIMAN NO 263,JAYEGAN TIMUR PEREMPATAN PASAR KEMBANG KE KIRI;
A101.023;GRASS INN HOTEL SOLO;cCustomer;GRASS INN HOTEL SOLO;Hotel;802;100;5000000;30;0.0000.00000.00000.;JL. ADISUCIPTO 101SOLO;GRAND LAGUNA;JL. ADISUCIPTO 101SOLO;
A101.024;HARRIS HOTEL & CONVENTION SOLO (PT. CIPTA PROPERTI AGUNG);cCustomer;PT. CIPTA PROPERTI AGUNG;Hotel;802;100;70000000;0;0.0000.00000.00000.;"JL. ADISUCIPTO 1, MANAHAN SOLO 
 SEDERET DENGAN MOM MILK";HALLO SOLO RESTO;"JL. ADISUCIPTO 1, MANAHAN SOLO 
 SEDERET DENGAN MOM MILK";
A101.008;AZHIMA HOTEL BANDARA;cCustomer;AZHIMA HOTEL BANDARA;Hotel;802;100;5000000;28;0.0000.00000.00000.;Jl. Sutowijoyo No.39, Penumping, Laweyan, Kota Surakarta, Jawa Tengah 57141;IBU MUMU;Jl. Sutowijoyo No.39, Penumping, Laweyan, Kota Surakarta, Jawa Tengah 57141;
A101.025;KYRIAD ARRA HOTEL CEPU;cCustomer;KYRIAD ARRA HOTEL CEPU;Hotel;802;100;10000000;7;0.0000.00000.00000.;Solo Grand Mall Lt.3Solo;K PATATS;Solo Grand Mall Lt.3Solo;
A101.044;SAHID KUSUMA HOTEL (PT. KUSUMA SAHID);cCustomer;PT. KUSUMA SAHID;Hotel;802;100;300000;7;0.0000.00000.00000.;Jalan Raya Sukowati No.352, Sragen, Magero, Sragen Tengah, Kec. Sragen, Kabupaten Sragen, Jawa Tengah;KOPI SRAGEN;Jalan Raya Sukowati No.352, Sragen, Magero, Sragen Tengah, Kec. Sragen, Kabupaten Sragen, Jawa Tengah;
A101.027;LAMPION HOTEL (PT WISMA BINALOKA);cCustomer;PT. WISMA BINALOKA;Hotel;802;100;1000000;14;0.0000.00000.00000.;"JALAN ABDUL RAHMAN SHALEH 
 (SAMPING META FM)BARAT SOSCIL";LA CASETTA;"JALAN ABDUL RAHMAN SHALEH 
 (SAMPING META FM)BARAT SOSCIL";
A101.026;LOR IN HOTEL (PT. ANOM SOLO SARANATAMA);cCustomer;PT. ANOM SOLO SARANATAMA;Hotel;802;100;20000000;0;0.0000.00000.00000.;"LANTAI 2 Hotel ALILA SOLO 
 JLN. SLAMET RIYADI NO 562 RT 001, RW 001, LAWEYAN SURAKARTA";LIBERICA CAFE ALILA;"LANTAI 2 Hotel ALILA SOLO 
 JLN. SLAMET RIYADI NO 562 RT 001, RW 001, LAWEYAN SURAKARTA";
A101.069;MAHALAYA;cCustomer;MAHALAYA;Hotel;802;100;3000000;7;09.958.157.1-526;Jl. Menteri Supeno No.10, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;MABAR & LAVINE;Jl. Menteri Supeno No.10, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139;
A101.029;MOVE MEGALAND HOTEL (PT. PAPAN REJEKI LESTARI);cCustomer;PT. PAPAN REJEKI LESTARI;Hotel;802;100;30000000;7;75.886.061.3532.000;JL,RAYA DUWET NO 1;MODUS CAFE;JL,RAYA DUWET NO 1;
A101.03;NOVOTEL SOLO HOTEL (PT. SUNINDO INDAH HOTEL);cCustomer;PT. SUNINDO INDAH HOTEL;Hotel;802;100;50000000;14;0.0000.00000.00000.;Solo Paragon, 02 Food Walk, Jl. Yosodipuro, Mangkubumen, Banjarsari, Kota Surakarta, Jawa Tengah;NIAGARA PARAGON;Solo Paragon, 02 Food Walk, Jl. Yosodipuro, Mangkubumen, Banjarsari, Kota Surakarta, Jawa Tengah;
A101.039;PREMIER INN SATORIA HOTEL (PT. SATORIA PRIMA PERSADA);cCustomer;PT. SATORIA PRIMA PERSADA;Hotel;802;100;5000000;0;0.0000.00000.00000.;Jl. Sumpah Pemuda No.101 Mojosongo Jebres Surakarta;PODJOK LAMPU;Jl. Sumpah Pemuda No.101 Mojosongo Jebres Surakarta;
A101.038;PRIMA INN HOTEL;cCustomer;PRIMA INN HOTEL;Hotel;802;100;500000;0;0.0000.00000.00000.;"Jl. Adi Sucipto No.29 Kerten Laweyan Surakarta 
 POM BENSIN MANAHAN";POLAR BEAR;"Jl. Adi Sucipto No.29 Kerten Laweyan Surakarta 
 POM BENSIN MANAHAN";
A101.006;ALILA HOTEL SOLO (PT. NARENDRA LENTERA ADISAKTI);cCustomer;PT. NARENDRA LENTERA ADISAKTI;Hotel;802;100;200000000;30;31.339.464.5-526.000;JL.SLAMET RIYADI 562 RT 001 RW 001, JAJAR, LAWEYAN, SURAKARTA;PT NARENDRA LENTERA ADISAKTI;JL.SLAMET RIYADI 562 RT 001 RW 001, JAJAR, LAWEYAN, SURAKARTA;
A101.053;SOLIA ZIGNA HOTEL (PT.HAILAI SINAR CEMERLANG);cCustomer;PT.HAILAI SINAR CEMERLANG;Hotel;802;100;5000000;0;02.581.133.2-526.000;JL. SLAMET RIYADI NO.205 RT 001 RW 006 KEMLAYAN, SERENGAN, SURAKARTA;PT TRI KUSUMA SANTOSA;JL. SLAMET RIYADI NO.205 RT 001 RW 006 KEMLAYAN, SERENGAN, SURAKARTA;
A115.027;INTERNATIONAL HOTEL MANAGEMENT HOTEL SOLO;cCustomer;INTERNATIONAL HOTEL MANAGEMENT HOTEL SOLO;Hotel;802;100;5000000;0;74.967.806.6-526.000;KAWASAN Hotel ALILA, JALAN SLAMET RIYADI NO.562 RT.001 RW.001 JAJAR, LAWEYAN SURAKARTA JAWA TENGAH 57141;PT. CIPTA REJEKI BERSAMA;KAWASAN Hotel ALILA, JALAN SLAMET RIYADI NO.562 RT.001 RW.001 JAJAR, LAWEYAN SURAKARTA JAWA TENGAH 57141;
A101.005;ALANA SOLO (PT. DELTA MERLIN DUNIA PROPERTI);cCustomer;PT. DELTA MERLIN DUNIA PROPERTI;Hotel;802;100;350000000;30;02.014.215.4-528.001;Jl. Adi Sucipto, Blulukan, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah;PT. DELTA MERLIN DUNIA PROPERTI;Jl. Adi Sucipto, Blulukan, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah;
A101.002;AMARELLO HOTEL (PT. GUNTUR MADU TAMA);cCustomer;PT. GUNTUR MADU TAMA;Hotel;802;100;10000000;28;01.357.450.4-526.001;JL.GATOT SUBROTO NO 89 - 103DEPAN SINGOSAREN PLAZA SURAKARTA;PT. GUNTUR MADU TAMA;JL.GATOT SUBROTO NO 89 - 103DEPAN SINGOSAREN PLAZA SURAKARTA;
A101.05;SYARIAH LOR IN HOTEL;cCustomer;SYARIAH LOR IN HOTEL;Hotel;802;100;1000000;28;01.781.372.6-046.000;GEDUNG PERKANTORAN BIDAKARA 2 LT. 19 - 22 JLN. JENDRAL GATOT SUBROTO KAV. 71 - 73 MENTENG DALAM - TEBETJAKARTA SELATAN - DKI JAKARTA 12870;PT. LION SUPER INDO;GEDUNG PERKANTORAN BIDAKARA 2 LT. 19 - 22 JLN. JENDRAL GATOT SUBROTO KAV. 71 - 73 MENTENG DALAM - TEBETJAKARTA SELATAN - DKI JAKARTA 12870;
A101.001;AGAS INTERNATIONAL HOTEL (PT. NIKI SAMI MULYA INDAH);cCustomer;PT. NIKI SAMI MULYA INDAH;Hotel;802;100;0;28;02.951.089.8-526.000;Jl. Dr. Muwardi No.44Solo;PT. NIKI SAMI MULYA INDAH;Jl. Dr. Muwardi No.44Solo;
A101.009;ALLIUM CEPU HOTEL (PT.GO CELL INTERNATIONAL);cCustomer;PT.GO CELL INTERNATIONAL;Hotel;802;100;10000000;28;03.101.263.6-514.001;Jalan By Pass Cepu, Balun, Cepu, Megal, Balun, Blora, Kabupaten Blora,;PT.GO CELL INTERNATIONAL;Jalan By Pass Cepu, Balun, Cepu, Megal, Balun, Blora, Kabupaten Blora,;
A101.045;SOLO INN HOTEL;cCustomer;SOLO INN HOTEL;Hotel;802;100;500000;28;03.196.092.5-526.000;Jl. Dr. Rajiman No.525, Laweyan, Kec. Laweyan, Kota Surakarta,;PT.HAILAI SINAR CEMERLANG;Jl. Dr. Rajiman No.525, Laweyan, Kec. Laweyan, Kota Surakarta,;
A101.01;ALLURA AZANA RESORT (PT. UNGGUL RESIR CEMERLANG);cCustomer;PT. UNGGUL RESIR CEMERLANG;Hotel;802;100;20000000;30;41.488.480.9-528.000;KALISORO RT003 RW003,KELURAHAN KALISOLO KEC.TAWANGMANGU KAB.KARANGANYAR;PT.UNGGUL RESIR CEMERLANG;KALISORO RT003 RW003,KELURAHAN KALISOLO KEC.TAWANGMANGU KAB.KARANGANYAR;
A101.043;RAMADA SWITES HOTEL;cCustomer;RAMADA SWITES HOTEL;Hotel;802;100;10000000;14;67.949.477.3-542.000;Perum Queen Garden III Blok F0, Dusun II, Waru, Baki, Kabupaten Sukoharjo, Jawa Tengah;QUEEN PIZZA;Perum Queen Garden III Blok F0, Dusun II, Waru, Baki, Kabupaten Sukoharjo, Jawa Tengah;
